176.0
4/4
FullName,CommonName,Length,Offset
Chord {D in octave 6 | C in octave 6} Dotted Eighth,D6-interval class 2,0.75,436.0
Chord {A in octave 6 | F-sharp in octave 6} Dotted Eighth,F#6-interval class 3,0.75,437.6666666666667
Chord {G in octave 7 | F in octave 7} Zero,G7-interval class 2,0.0,438.75
Chord {E in octave 4 | F in octave 4} 16th,F4-interval class 1,0.25,440.3333333333333
Chord {F in octave 4 | B in octave 4 | D in octave 5} Zero,B4-diminished triad,0.0,442.25
Chord {A in octave 5 | F in octave 5 | C in octave 6} Zero,F5-major triad,0.0,446.0
Chord {E-flat in octave 5 | E in octave 6} 16th,E-5-interval class 1,0.25,446.0
Chord {D in octave 6 | G in octave 5} Eighth,G5-interval class 5,0.5,449.0
Chord {E in octave 6 | C-sharp in octave 6} Quarter,C#6-interval class 3,1.0,462.0
Chord {B in octave 2 | A in octave 5} 16th,B2-interval class 2,0.25,478.6666666666667
Chord {E-flat in octave 4 | E-flat in octave 5} Dotted Eighth,E-4-unison,0.75,20.666666666666668
Chord {B-flat in octave 4 | D in octave 5 | F in octave 5} Eighth,B-4-major triad,0.5,24.0
Chord {D in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),D5-interval class 5,1/3,80.0
Chord {G in octave 4 | G in octave 5} 16th,G4-unison,0.25,190.66666666666666
Chord {A in octave 5 | D in octave 5 | E in octave 5} Dotted Eighth,D5-quartal trichord,0.75,268.6666666666667
Chord {A in octave 4 | C-sharp in octave 5 | E in octave 5} Quarter tied to 16th (1 1/4 total QL),A4-major triad,1.25,270.0
Chord {F-sharp in octave 3 | F-sharp in octave 6} Quarter,F#3-unison,1.0,436.0
Chord {F in octave 4 | B-flat in octave 4} 16th,B-4-interval class 5,0.25,87.66666666666667
Chord {F-sharp in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),F#5-tritone,2/3,436.0
